index,Unique_Author,Job_Title
0,A Ahlemeyer-Stubbe,Unkown
1,A Ionita,Unkown
2,A-Kamel Tari,Unkown
3,Aalekhya Nethra,Unkown
4,Aaron Duane,Unkown
5,Aaron Edgeworth,Unkown
6,Aasish Pappu,Unkown
7,Abbas Bagherian Kasgari,Unkown
8,Abdelouaheb Ardjouni,Unkown
9,Abhishek Kaushik,Unkown
10,Abidalrahman Moh’D,Unkown
11,Abigail Walsh,Unkown
12,Adam Jatowt,Unkown
13,Adele Lu Jia,Unkown
14,Ademar Crotti Junior,Unkown
15,Adrian Clark,Unkown
16,Adrian Mihai,Unkown
17,Ae Yilmaz,Unkown
18,Afzad Godil,Unkown
19,Ahcene Djoudi,Unkown
20,Ahmed Abd-Ali Omran,Unkown
21,Ahmed Alateeq,Unkown
22,Ahmed Hassan Awadallah,Unkown
23,Ahu Açıkgöz,Unkown
24,Aidan Fogarty,Unkown
25,Aidan Lawless,Unkown
26,Akshai Ramesh,Unkown
27,Akshay Zalkikar,Unkown
28,Alan F. Smeaton,Professor
29,Alan Meehan,Unkown
30,Alastair Porter,Unkown
31,Alba Garcia Seco De Herrera,Unkown
32,Alba García Seco De Herrera,Unkown
33,Alberto Del Bimbo,Unkown
34,Alberto Poncelas,Unkown
35,Albina Auksoriūtė,Unkown
36,Aleh Tarasau,Unkown
37,Alessandra Mileo,Assistant Professor
38,Alessandra Russo,Unkown
39,Alex Helle,Unkown
40,Alex Murphy,Unkown
41,Alexander Artikis,Unkown
42,Alexander Fraser,Unkown
43,Alexander Hauptmann,Unkown
44,Alexander O’Connor,Unkown
45,Alexandra Birch,Unkown
46,Alexandra Covaci,Unkown
47,Alexandre Sicard,Unkown
48,Ali Ameer Jabor,Unkown
49,Ali Berkane,Unkown
50,Alihan Dogus Yalcin,Unkown
51,Alistair Sutherland,Lecturer
52,Alípio Jorge,Unkown
53,Amal Al-Rasheed,Unkown
54,Amal Alrabiah,Unkown
55,Amanda Hastings,Unkown
56,Amani Alrobai,Unkown
57,Amber Pearson,Unkown
58,Amerah Alghanim,Unkown
59,Aminul Islam,Unkown
60,Amir Amirabadi,Unkown
61,Amir M Ben-Amram,Unkown
62,Amirhossein Aghamohammadi,Unkown
63,Amit Moryossef,Unkown
64,Amruth Hebbasuru Suryanarayana,Unkown
65,Anara Baidzhuranova,Unkown
66,Anastasia Shimorina,Unkown
67,Andoni Azpeitia,Unkown
68,Andre Kåsen,Unkown
69,Andrea Lösch,Unkown
70,Andreas Auinger,Unkown
71,Andreas Hillmann,Unkown
72,Andreas Leibetseder,Unkown
73,Andreea Molnar,Unkown
74,Andrejs Vasiļjevs,Unkown
75,Andrew Delgado,Unkown
76,Andrew McCarren,Assistant Professor
77,André Ft Martins,Unkown
78,Andy Meaney,Unkown
79,Andy Way,Professor
80,Angelika Kimmig,Unkown
81,Anirban Chakraborty,Unkown
82,Anja Belz,Unkown
83,Ann Clifton,Unkown
84,Annalina Caputo,Assistant Professor
85,Anne Delextrat,Unkown
86,Anne Marie Delaney,Unkown
87,Annraoi De Paor,Unkown
88,Antonio Campello,Unkown
89,Antonio Jacob,Unkown
90,Antonio Jimeno Yepes,Unkown
91,António Branco,Unkown
92,Anya Belz,Unkown
93,Aoife Morrin,Unkown
94,Argentina Anna Rescigno,Unkown
95,Arghir Nicolae Moldovan,Unkown
96,Aries Mohammed Es-Salih,Unkown
97,Armbrust,Unkown
98,Armony Altinier,Unkown
99,Artem Bielozorov,Unkown
100,Arvind Ramadurai,Unkown
101,Arwa Alghamdi,Unkown
102,Asad Butt,Unkown
103,Asif Ekbal,Unkown
104,Asma Ben Abacha,Unkown
105,Asma Slaimi,Unkown
106,Aurelie Neveol,Unkown
107,Axel J Soto,Unkown
108,Axel Polleres,Unkown
109,Ayush K Rai,Unkown
110,Ayşe Sönmez,Unkown
111,Azadeh Nazemi,Unkown
112,B Cardiff,Unkown
113,B Thu-Le Pham,Unkown
114,B Woods,Unkown
115,Bachir Messirdi,Unkown
116,Banu Pazar Varol,Unkown
117,Baoquan Chen,Unkown
118,Baptiste Chocot,Unkown
119,Barbara Solenthaler,Unkown
120,Barry Haddow,Unkown
121,Bekbolot Kanetov,Unkown
122,Belhadj Karim,Unkown
123,Ben Carterette,Unkown
124,Ben Kelly,Unkown
125,Benjamin Barry,Unkown
126,Benjamin Bischke,Unkown
127,Benjamin Cowan,Unkown
128,Benjamin D Weedon,Unkown
129,Benjamin David Weedon,Unkown
130,Benoit Huet,Unkown
131,Bernardo Magnini,Unkown
132,Bernd Bohnet,Unkown
133,Bernd Munzer,Unkown
134,Bert Bos,Unkown
135,Bert Gordijn,Unkown
136,Beyza Yaman,Unkown
137,Biagio Lenzitti,Unkown
138,Binh T Nguyen,Unkown
139,Binwoei Choong,Unkown
140,Björn Thór Jónsson,Unkown
141,Björn Þór Jónsson,Unkown
142,Bo Zhang,Unkown
143,Bogdan Ionescu,Unkown
144,Bojan Bozic,Unkown
145,Bolette Sandford Pedersen,Unkown
146,Bora Gunyel,Unkown
147,Borja Anza Porras,Unkown
148,Boudewijn Van Dongen,Unkown
149,Breandán Kerin,Unkown
150,Brendan Heery,Unkown
151,Brian Davis,Assistant Professor
152,Brian McCullagh,Unkown
153,Brian Mccullagh,Unkown
154,Brian Slattery,Unkown
155,Brona Furlong,Unkown
156,Brona Kehoe,Unkown
157,Bronagh McGrane,Unkown
158,Bronagh Mcgrane,Unkown
159,Bryan Cullen,Unkown
160,Bryan Tyrrell,Unkown
161,Bróna Kehoe,Unkown
162,Bud Bruegger,Unkown
163,Bénédicte Bucher,Unkown
164,C Neil,Unkown
165,C Ni Mhurchu,Unkown
166,C Seifert,Unkown
167,C Smyth,Unkown
168,Cagdas Usfekes,Unkown
169,Camilla Sanvitto,Unkown
170,Can Koral Adalı,Unkown
171,Carl Vogel,Unkown
172,Carlos Cuevas,Unkown
173,Carlos Roberto Del Blanco,Unkown
174,Carlos Sc Teixeira,Unkown
175,Carol Daly,Unkown
176,Catarina Silva,Unkown
177,Cathal Gurrin,Associate Professor
178,Catherine N Moran,Unkown
179,Catherine Woods,Unkown
180,Celia Rico,Unkown
181,Chang-Hwan Choi,Unkown
182,Chao-Hong Liu,Unkown
183,Charlie Daly,Lecturer
184,Cheng Liu,Unkown
185,Chenyang Lyu,Unkown
186,Chi-Kiu Lo,Unkown
187,Ching Y Suen,Unkown
188,Christian Dirschl,Unkown
189,Christian Federmann,Unkown
190,Christian Hardmeier,Unkown
191,Christina B Azodi,Unkown
192,Christina McKerchar,Unkown
193,Christina Mckerchar,Unkown
194,Christof Monz,Unkown
195,Christoph M Friedrich,Unkown
196,Christoph Prinz,Unkown
197,Christophe Debruyne,Unkown
198,Christos Filelis Papadopoulo,Unkown
199,Chuan Liu,Unkown
200,Chuanlin Lan,Unkown
201,Chuanyang Zheng,Unkown
202,Ciara McCormack,Unkown
203,Claire M Timon,Unkown
204,Claire Tansey,Unkown
205,Claire-Hélène Demarty,Unkown
206,Cleona Gray,Unkown
207,Cliona Ni Mhurchu,Unkown
208,Colette Real,Unkown
209,Cong Liu,Unkown
210,Cong Shi,Unkown
211,Congcong Xing,Unkown
212,Connie L Moore,Unkown
213,Connor Mulready,Unkown
214,Cristina Muntean,Unkown
215,Cvetana Krstev,Unkown
216,Cynthia Chen,Unkown
217,Cyril Messaraa,Unkown
218,D Kogias,Unkown
219,D Phung,Unkown
220,D-T Dang-Nguyen,Unkown
221,Dag Schmidtke,Unkown
222,Dagmar Gromann,Unkown
223,Damian Martin,Unkown
224,Damien Kearney,Unkown
225,Dan Tufiş,Unkown
226,Dana D Sheridan,Unkown
227,Daniel Mora,Unkown
228,Daniel Stein,Unkown
229,Daniel Torregrosa,Unkown
230,Daniel Turner,Unkown
231,Danielle Powell,Unkown
232,Daria Dzendzik,Unkown
233,Darragh O'Brien,Lecturer
234,David Azcona,Unkown
235,David Hanley,Unkown
236,David Hickey,Unkown
237,David Kilroy,Unkown
238,David P McGovern,Unkown
239,David P Mcgovern,Unkown
240,David Perez,Unkown
241,David Raffo,Unkown
242,David Sinclair,Associate Professor
243,Davide Maltoni,Unkown
244,Davide Taibi,Unkown
245,Dawen Xu,Unkown
246,Dean Lynch,Unkown
247,Debasis Ganguly,Unkown
248,Debdoot Sheet,Unkown
249,Declan Gamble,Unkown
250,Declan Groves,Unkown
251,Declan Moore,Unkown
252,Declan O’Sullivan,Unkown
253,Deirdre O’Shea,Unkown
254,Di Wang,Unkown
255,Di Xie,Unkown
256,Dian Zhang,Unkown
257,Diana Bogusevschi,Unkown
258,Diane T Rover,Unkown
259,Dick Epema,Unkown
260,Diego Ortego,Unkown
261,Dien H Le,Unkown
262,Dietmar Nedbal,Unkown
263,Dimitar Shterionov,Assistant Professor
264,Dimitra Anastasiou,Unkown
265,Dimitri Fichou,Unkown
266,Dimitrios Tzovaras,Unkown
267,Dina Demner-Fushman,Unkown
268,Dinara Kanetova,Unkown
269,Dingwen Tao,Unkown
270,Dinh V Cuong,Unkown
271,Dipasree Pal,Unkown
272,Dirk Werth,Unkown
273,Dongyun Nie,Teaching Assistant
274,Doria Affane,Unkown
275,Douglas Cirqueira,Unkown
276,Duc Tien Dang Nguyen,Unkown
277,Duc-Tien Dang Nguyen,Unkown
278,Duran Türkoğlu,Unkown
279,Duvindu Piyasena,Unkown
280,Dwaipayan Roy,Unkown
281,Dzmitri Klimuk,Unkown
282,Dónal Fitzpatrick,Lecturer
283,E Tuzun,Unkown
284,Eamonn Clinton,Unkown
285,Edward Bergman,Unkown
286,Edward Meade,Unkown
287,Ehud Reiter,Unkown
288,Eiríkur Rögnvaldsson,Unkown
289,Ekrem Savaş,Unkown
290,Elena Alvarado,Unkown
291,Elimhan Mahmudov,Unkown
292,Elio Hbeich,Unkown
293,Eliot Godard,Unkown
294,Elisson Da Silva Rocha,Unkown
295,Elmar Kiesling,Unkown
296,Emer Duffy,Unkown
297,Emily Bolger,Unkown
298,Emin Durmishi,Unkown
299,Emma O’Keeffe,Unkown
300,Enric Moreu,Unkown
301,Eoin Brophy,Unkown
302,Eoin Cartwright,Unkown
303,Eray Tuzun,Unkown
304,Ergina Kavallieratou,Unkown
305,Eric Arazo Sanchez,Unkown
306,Eric Joanis,Unkown
307,Eric Paquin,Unkown
308,Erwin Folmer,Unkown
309,Esra Dalan Yıldırım,Unkown
310,Esraa Ali,Unkown
311,Estella Oncins,Unkown
312,Eva Ibarrola,Unkown
313,Eva Martínez Garcia,Unkown
314,Eva Schlehahn,Unkown
315,Eva Vanmassenhove,Unkown
316,Evangelos E Milios,Unkown
317,Fabio Lobato,Unkown
318,Fabrizio Riguzzi,Unkown
319,Faiyaz Doctor,Unkown
320,Fajar J Ekaputra,Unkown
321,Falk Würriehausen,Unkown
322,Fan Feng,Unkown
323,Fatih Yılmaz,Unkown
324,Faycal Bouchelaghem,Unkown
325,Federico Gaspari,Unkown
326,Feiyan Hu,Unkown
327,Felix Do Carmo,Unkown
328,Feng Shi,Unkown
329,Fergal McCaffery,Unkown
330,Ferhat Esenbel,Unkown
331,Fernando Almeida,Unkown
332,Fernando Kuipers,Unkown
333,Fethi Bougares,Unkown
334,Finian Buckley,Unkown
335,Fiona Dermody,Unkown
336,Fiona Regan,Unkown
337,Fiona Skelly,Unkown
338,Florian Metze,Unkown
339,Francesca Lisi,Unkown
340,Francesco Ricca,Unkown
341,Francisco M Couto,Unkown
342,Francois Pitie,Unkown
343,Frank Griesinger,Unkown
344,Frank Hopfgartner,Unkown
345,François Pitie,Unkown
346,François Yvon,Unkown
347,Gabriela Magureanu,Unkown
348,Gabriele Graffieti,Unkown
349,Gabriella Pasi,Unkown
350,Gabrielle Ls Jenkin,Unkown
351,Gaetano Rossiello,Unkown
352,Gareth Jones,Professor
353,Gaurav Negi,Unkown
354,Gauti Kristmannsson,Unkown
355,Gema Ramirez-Sanchez,Unkown
356,Geoff Hamilton,Associate Professor
357,Georg Rehm,Unkown
358,George A Gravvanis,Unkown
359,George Awad,Unkown
360,Georges Quenot,Unkown
361,Georges Quénot,Unkown
362,Geraldine Boylan,Unkown
363,Gerard Mc Mahon,Unkown
364,Gerhard Backfried,Unkown
365,Gerhard Budin,Unkown
366,Gerhard Friedrich,Unkown
367,German I Parisi,Unkown
368,Gheorghita Ghinea,Unkown
369,Gideon Maillette De Buy Wenniger,Unkown
370,Giosuè Lo Bosco,Unkown
371,Giovanni Semeraro,Unkown
372,Giovanni Stilo,Unkown
373,Gj Jones,Unkown
374,Gm Venkatesh,Unkown
375,Gorka Labaka Intxauspe,Unkown
376,Graham Healy,Assistant Professor
377,Graham Healy Akanksha Rajpute,Unkown
378,Greta Warren,Unkown
379,Grigoris Antoniou,Unkown
380,Grzegorz Terlikowski,Unkown
381,Guillaume Cabanac,Unkown
382,Guixian Xu,Unkown
383,Gunyel Bora Dinc Hakan,Unkown
384,Guodong Xie,Unkown
385,Gustavo De Los Campos,Unkown
386,Guto Leoni Santos,Unkown
387,Gülseren Çiçek,Unkown
388,Gültekin Cakir,Unkown
389,Hadil Shaiba,Unkown
390,Hai Hu,Unkown
391,Hai-Dang Nguyen,Unkown
392,Haijun Wang,Unkown
393,Haithem Afli,Unkown
394,Haiying Shen,Unkown
395,Hakan Dinc,Unkown
396,Hakan Şahin,Unkown
397,Hala Mulki,Unkown
398,Halimah Badioze Zaman,Unkown
399,Hamdy A El-Metwally,Unkown
400,Hamed Bonab,Unkown
401,Hamsini Ketheswarasarma Rajaram,Unkown
402,Hamza Riaz,Unkown
403,Hanadi Alhamdan,Unkown
404,Hanwang Zhang,Unkown
405,Hao Wu,Unkown
406,Haoda Feng,Unkown
407,Haolin Wei,Unkown
408,Haree Jeyaram,Unkown
409,Harshal Chaudhari,Unkown
410,Hatem Haddad,Unkown
411,Hayley Hung,Unkown
412,Hazal Ipek Kahraman,Unkown
413,Heather J. Ruskin,Professor
414,Heechul Bae,Unkown
415,Heidi Johansen-Berg,Unkown
416,Heike Vornhagen,Unkown
417,Helen Dawes,Unkown
418,Helen McHugh,Unkown
419,Helen Mchugh,Unkown
420,Heng Ji,Unkown
421,Henning Muller,Unkown
422,Henry Elder,Unkown
423,Henry Gorelick,Unkown
424,Hervé Pusset,Unkown
425,Heybetkulu Mustafayev,Unkown
426,Hideo Joho,Unkown
427,Himanshu Vashisht,Unkown
428,Hoang-Anh Le,Unkown
429,Hoang-Phuc Trang-Trung,Unkown
430,Hoda Abdelhafez,Unkown
431,Hongbo Liu,Unkown
432,Hongmei Chi,Unkown
433,Houssem Chatbri,Unkown
434,Hrafn Loftsson,Unkown
435,Hua Duan,Unkown
436,Hua Wang,Unkown
437,Huawei Li,Unkown
438,Husnu S Narman,Unkown
439,Huu-Duc Trinh,Unkown
440,Hyonyoung Han,Unkown
441,Hyowon Lee,Unkown
442,Hélène Amièva,Unkown
443,Hülya Duru,Unkown
444,Hürmet Fulya Akız,Unkown
445,Hüseyin Çakallı,Unkown
446,I Peterfi,Unkown
447,I-Han Hsiao,Unkown
448,Iacer Calixto,Unkown
449,Ian Robertson,Unkown
450,Igor Steinmacher,Unkown
451,Ilaria Tiddi,Unkown
452,Ilias Tachmazidis,Unkown
453,Ingo Frommholz,Unkown
454,Inguna Skadiņa,Unkown
455,Ioan-Sorin Comşa,Unkown
456,Ioannis Kompatsiaris,Unkown
457,Irina Tal,Assistant Professor
458,Irmak Angun,Unkown
459,Ishak Altun,Unkown
460,Ismail Babaoglu,Unkown
461,Issa Khalifeh,Unkown
462,Ivanovitch Silva,Unkown
463,Iñaki Alegría Loinaz,Unkown
464,J Lawton,Unkown
465,J Pandit Harshvardhan,Unkown
466,J Zhou,Unkown
467,J.,Unkown
468,Jagadeeswaran Thangaraj,Teaching Assistant
469,Jaime B Fernandez,Unkown
470,Jake Grogan,Unkown
471,Jakub Lokoč,Unkown
472,Jakub Lokoš,Unkown
473,James Barry,Unkown
474,James Byrne,Unkown
475,James Hadley,Unkown
476,James McDermott,Unkown
477,James Mcdermott,Unkown
478,James Power,Unkown
479,James Stanley,Unkown
480,Jan Buts,Unkown
481,Jan Hajič,Unkown
482,Jan Odijk,Unkown
483,Jane Dunne,Unkown
484,Jane Horgan,Unkown
485,Jane Kernan,Lecturer
486,Janet Hoek,Unkown
487,Javier D Fernández,Unkown
488,Jeffrey Liu,Unkown
489,Jemil Gambo,Unkown
490,Jennifer Foster,Lecturer
491,Jenny Benois-Pineau,Unkown
492,Jens Ducree,Unkown
493,Jeremy Debattista,Unkown
494,Jesse Zhang,Unkown
495,Jia Jia,Unkown
496,Jian Tang,Unkown
497,Jiang Zhou,Unkown
498,Jianquan Liu,Unkown
499,Jianwen Wu,Unkown
500,Jinhua Du,Unkown
501,Jinwei Liu,Unkown
502,Jiujun Cheng,Unkown
503,Joachim Köhler,Unkown
504,Joachim Wagner,Unkown
505,Joanne Pm Kenney,Unkown
506,Joeran Beel,Unkown
507,Joey Liu,Unkown
508,Johan Lukkien,Unkown
509,Johann Issartel,Unkown
510,Johanna Monti,Unkown
511,John Garrigan,Unkown
512,John Kelleher,Unkown
513,John Loane,Unkown
514,John Murphy,Unkown
515,John Roberto,Unkown
516,John Tinsley,Unkown
517,John V Ringwood,Unkown
518,Johnny Wei,Unkown
519,Jon Arild Olsen,Unkown
520,Jon Chamberlain,Unkown
521,Jonathan Bradley,Unkown
522,Jonathan Fiscus,Unkown
523,Jordan Calandre,Unkown
524,Joris Vreeke,Unkown
525,Josef Van Genabith,Unkown
526,Joseph Antony,Unkown
527,Joseph Kehoe,Unkown
528,Josephine Andrews,Unkown
529,Joshua Grundy,Unkown
530,Joss Moorkens,Unkown
531,José Luis Fonseca,Unkown
532,José Manuel Gómez Pérez,Unkown
533,Judie Attard,Unkown
534,Julie Middleton,Unkown
535,Jun-Ki Kim,Unkown
536,Junli Liang,Unkown
537,Jurgen Mulsow,Unkown
538,Jussi Karlgren,Unkown
539,Jörg Domaschka,Unkown
540,Jörg Niemann,Unkown
541,K Ball,Unkown
542,K Wittek,Unkown
543,Kadri Vider,Unkown
544,Kai Bergmann,Unkown
545,Kai Liu,Unkown
546,Kalina Bontcheva,Unkown
547,Kamal Kumar Gupta,Unkown
548,Kanishk Verma,Unkown
549,Karen Young,Unkown
550,Karin Verspoor,Unkown
551,Katrin Marheinecke,Unkown
552,Kaushik Venkataraman,Unkown
553,Keith Cortis,Unkown
554,Keith Curtis,Unkown
555,Kenny Mitchell,Unkown
556,Kepa Sarasola,Unkown
557,Kevin Casey,Unkown
558,Kevin D O’Brien,Unkown
559,Kevin McGuinness,Unkown
560,Kevin Thompson,Unkown
561,Khalid Choukri,Unkown
562,Khanh Nguyen,Unkown
563,Kheireddine Biroud,Unkown
564,Kieran Daly,Unkown
565,Kieran Dowd,Unkown
566,Kirils Sloka,Unkown
567,Klaus Schoeffmann,Unkown
568,Kn Manasa,Unkown
569,Koenraad De Smedt,Unkown
570,Koji Zettsu,Unkown
571,Konstantinos Karampidis,Unkown
572,Konstantinos M Giannoutakis,Unkown
573,Kouzi Xing,Unkown
574,Kripabandhu Ghosh,Unkown
575,Krister Lindén,Unkown
576,Kristian McGlinn,Unkown
577,Kristian Mcglinn,Unkown
578,Kweon Woo Jung,Unkown
579,Kyrylo Khaletskyy,Unkown
580,L Smith,Unkown
581,L Zhang,Unkown
582,Lama Alaskar,Unkown
583,Lambert Schomaker,Unkown
584,Lara Kelly,Unkown
585,Laura Cabrera Quiros,Unkown
586,Laura Christina Galea,Unkown
587,Laure Le Bars,Unkown
588,Lauri Tuovinen,Unkown
589,Le Tu-Khiem,Unkown
590,Lee Rooney,Unkown
591,Lei Zhang,Unkown
592,Leo Wanner,Unkown
593,Leslie Daly,Unkown
594,Lexi Rowland,Unkown
595,Liadh Kelly,Unkown
