index,Unique_Author,Job_Title
596,Liang Ma,Unkown
597,Liangyou Li,Unkown
598,Lifeng Han,Unkown
599,Liguang Zhou,Unkown
600,Liguo Huang,Unkown
601,Lili Zhang,Unkown
602,Lin Yang,Unkown
603,Linardos Panagiotis,Unkown
604,Liqiang Nie,Unkown
605,Lisa K Kenyon,Unkown
606,Lisa Loughney,Unkown
607,Lisa Van Der Werff,Unkown
608,Liting Zhou,Unkown
609,Liu Qun,Unkown
610,Liviu Daniel Stefan,Unkown
611,Liviu Daniel Ştefan,Unkown
612,Ljubi Kocinac,Unkown
613,Ln Signal,Unkown
614,Long Cheng,Assistant Professor
615,Longhao Zou,Unkown
616,Lorenzo Pellegrini,Unkown
617,Lorin Sweeney,Unkown
618,Lorraine Boran,Unkown
619,Lorraine Goeuriot,Unkown
620,Lorraine McNerney,Unkown
621,Lorraine Mcnerney,Unkown
622,Louis-Philippe Morency,Unkown
623,Loïc Barrault,Unkown
624,Luc Meertens,Unkown
625,Luca Piras,Unkown
626,Luca Rossetto,Unkown
627,Lucas Piras,Unkown
628,Lucy McKenna,Unkown
629,Lucy Mckenna,Unkown
630,Ludovico Boratto,Unkown
631,Luiz Affonso Guedes,Unkown
632,Luka Murn,Unkown
633,Lukas Diduch,Unkown
634,Luís Gomes,Unkown
635,Ly-Duyen Tran,Unkown
636,M Al-Kaff,Unkown
637,M Denizci Nazligul,Unkown
638,M Eduardo Ares,Unkown
639,M Etzrodt,Unkown
640,M Ewald,Unkown
641,M Marcelo Cavalanti,Unkown
642,M Rogerson,Unkown
643,M Smith,Unkown
644,M-Tahar Kechadi,Unkown
645,M.,Unkown
646,Ma Gozcu,Unkown
647,Maarten De Vos,Unkown
648,Maciej Ogrodniczuk,Unkown
649,Maedeh Mansoubi,Unkown
650,Magdalena Biesialska,Unkown
651,Mahnaz Arvaneh,Unkown
652,Mai Alduailij,Unkown
653,Mai-Khiem Tran,Unkown
654,Mairéad Cantwell,Unkown
655,Maite Melero,Unkown
656,Maja Popovic,Unkown
657,Makoto Morishita,Unkown
658,Malika Bendechache,Assistant Professor
659,Mandar Mitra,Unkown
660,Manel Zarrouk,Unkown
661,Manh-Duy Nguyen,Unkown
662,Manisha Verma,Unkown
663,Manuel Herranz,Unkown
664,Marc Gorriz Blanch,Unkown
665,Marc Gorrizblanch,Unkown
666,Marc Górriz,Unkown
667,Marcis Pinnis,Unkown
668,Marco Alfano,Unkown
669,Marco Maratea,Unkown
670,Marco Polignano,Unkown
671,Marco Turchi,Unkown
672,Marcos Zampieri,Unkown
673,Marek Mazur,Unkown
674,Margaret Farren,Unkown
675,Maria Cabral,Unkown
676,Maria Eskevich,Unkown
677,Maria Gavriilidou,Unkown
678,Maria O’Neil,Unkown
679,Mariana Neves,Unkown
680,Marie-Francine Moens,Unkown
681,Marija Bezbradica,Assistant Professor
682,Marija Brkic,Unkown
683,Marilena Bratu,Unkown
684,Marina Purgina,Unkown
685,Mario Macías,Unkown
686,Marion Pech,Unkown
687,Mark Fishel,Unkown
688,Mark Lizar,Unkown
689,Mark Marsden,Unkown
690,Mark Roantree,Professor
691,Mark Sanderson,Unkown
692,Marko Tadić,Unkown
693,Markus Gross,Unkown
694,Markus Helfert,Unkown
695,Markus Hofer,Unkown
696,Marlon Oliveira,Unkown
697,Marta Mrak,Unkown
698,Marta R Costa-Jussa,Unkown
699,Marta R Costa-Jussà,Unkown
700,Martha Larson,Unkown
701,Martin Crane,Associate Professor
702,Martin Etzrodt,Unkown
703,Martynas Urbanavicius,Unkown
704,Marwa Almasoud,Unkown
705,Mary Sánchez‐Gordón,Unkown
706,Maryam Basereh,Unkown
707,Maryam Naseri,Unkown
708,Masaaki Nagata,Unkown
709,Mathias Lux,Unkown
710,Mathias Müller,Unkown
711,Matt Post,Unkown
712,Matt Spencer,Unkown
713,Matteo Negri,Unkown
714,Matthew Gwilliam,Unkown
715,Matthew Nicholson,Unkown
716,Matthew Tretter,Unkown
717,Matthias Huck,Unkown
718,Max Gravitt,Unkown
719,Max Grosse,Unkown
720,Maxim Mozgovoy,Unkown
721,Małgorzata Gutowska,Unkown
722,Mb Barr,Unkown
723,Meerim Zhanakunova,Unkown
724,Meghan Dowling,Unkown
725,Mehmet Kosa,Unkown
726,Mehvish Rashid,Unkown
727,Meiqing Wu,Unkown
728,Meltem Sertbaş,Unkown
729,Mengchu Zhou,Unkown
730,Mersedeh Kooshki Forooshani,Unkown
731,Messnarz,Unkown
732,Michael Dowling,Unkown
733,Michael Harrison,Unkown
734,Michael J Maher,Unkown
735,Michael Keane,Unkown
736,Michael Riegler,Unkown
737,Michael Scriney,Assistant Professor
738,Michael Tynes,Unkown
739,Michela Bertolotto,Unkown
740,Michele Zorzi,Unkown
741,Mihael Arcan,Unkown
742,Mihai Dogariu,Unkown
743,Mihai Gabriel Constantin,Unkown
744,Mike Rosner,Unkown
745,Mikel Forcada,Unkown
746,Milan Redžić,Unkown
747,Mina Fazel,Unkown
748,Minas Spanopoulos-Karalexidis,Unkown
749,Ming Chen,Unkown
750,Mingming Liu,Unkown
751,Minh Triet Tran,Unkown
752,Minh-Huy Nguyen-Ngoc,Unkown
753,Minh-Son Dao,Unkown
754,Mirko Marras,Unkown
755,Mohamed Belhout,Unkown
756,Mohammad Aboomar,Unkown
757,Mohammad Hasanuzzaman,Unkown
758,Mohammad Nazir Ahmad,Unkown
759,Mohammad Reza Motallebi,Unkown
760,Mohammad Z Anjum,Unkown
761,Mohammed Aljunid,Unkown
762,Mohammed Derhab,Unkown
763,Mohammed Khalil Alijel,Unkown
764,Mohammed Saeed Jawad,Unkown
765,Mohd Nizam Ab Rahman,Unkown
766,Monica Ward,Lecturer
767,Monika Solanki,Unkown
768,Morten Irgens,Unkown
769,Mostafa Bayomi,Unkown
770,Mourad Gridach,Unkown
771,Muhammad Intizar Ali,Unkown
772,Murat YILMAZ,Unkown
773,Murat Yilmaz,Assistant Professor
774,Murhaf Hossari,Unkown
775,Musfira Jilani,Assistant Professor
776,Mustapha Fateh Yarou,Unkown
777,N Loughney,Unkown
778,N McCaffrey,Unkown
779,N Mccaffrey,Unkown
780,N Wittek,Unkown
781,Nam H Trinh,Unkown
782,Nam Trinh,Unkown
783,Nancy Mayo,Unkown
784,Narciso Garcia,Unkown
785,Naresh Yarlapati,Unkown
786,Naresh Yg,Unkown
787,Natalia Duda,Unkown
788,Natália Resende,Unkown
789,Navaneethan Rajasekaren,Unkown
790,Naveen Garaga Krishnamurthy,Unkown
791,Nazlena Mohamad Ali,Unkown
792,Neelesh B Mehta,Unkown
793,Neha Srivatsa,Unkown
794,Nesib Tekin,Unkown
795,Ngoc-Thanh Nguyen,Unkown
796,Nguyen Thanh Binh,Unkown
797,Nguyen-Hien Tran,Unkown
798,Nhu T Nguyen,Unkown
799,Niall Lyons,Unkown
800,Niall Moyna,Unkown
801,Niall Walsh,Unkown
802,Niamh Morris,Unkown
803,Nicholas J Belkin,Unkown
804,Nick McDonald,Unkown
805,Nick Mcdonald,Unkown
806,Nicola Leone,Unkown
807,Niemann,Unkown
808,Nihar Sudhanshu Limaye,Unkown
809,Nikita Shekutkovski,Unkown
810,Nikola Ljubesic,Unkown
811,Nikos Vasillopoulos,Unkown
812,Niloofar Tavakolian,Unkown
813,Ninh Van-Tu,Unkown
814,Noel McCaffrey,Unkown
815,Noel Mccaffrey,Unkown
816,Noel Murphy,Unkown
817,Noel O’Conner,Unkown
818,Noel O’Connor,Unkown
819,Noriko Kando,Unkown
820,Nour El Mawas,Unkown
821,Núria Bel,Unkown
822,O Salvetti,Unkown
823,O.,Unkown
824,Obioma Pelka,Unkown
825,Oishin Smith,Unkown
826,Ondrej Bojar,Unkown
827,Osman Mucuk,Unkown
828,Ove Armbrust,Unkown
829,Owen Conlan,Unkown
830,Owen Corrigan,Unkown
831,P L Halvorsen,Unkown
832,P Perner,Unkown
833,P Sandhya,Unkown
834,Pablo Redondo,Unkown
835,Paco Guzman,Unkown
836,Padraig Corcoran,Unkown
837,Pal Halvorsen,Unkown
838,Paolo Bolzoni,Unkown
839,Paolo Cappellari,Unkown
840,Paolo Tell,Unkown
841,Paraic Sheridan,Unkown
842,Pascal Faurie,Unkown
843,Pasquale Di Donato,Unkown
844,Patricia Fonseca,Unkown
845,Patricia Takako Endo,Unkown
846,Patrick Esser,Unkown
847,Patrick Gatellier,Unkown
848,Paul Brie,Unkown
849,Paul Fodor,Unkown
850,Paul Lukowicz,Unkown
851,Paul M Dockree,Unkown
852,Paul M. Clarke,Assistant Professor
853,Paul Ryan,Unkown
854,Pauline McCormack,Unkown
855,Pauline Mccormack,Unkown
856,Paulo Vale,Unkown
857,Peijian Zhao,Unkown
858,Peijiang Zhao,Unkown
859,Per Bergamin,Unkown
860,Periklis Chatzimisios,Unkown
861,Peter Elger,Unkown
862,Peter Kearney,Unkown
863,Peter Novitzky,Unkown
864,Petra Bago,Unkown
865,Petra Perner,Unkown
866,Philip Kelly,Unkown
867,Philipp Koehn,Unkown
868,Philipp Mayr,Unkown
869,Philipp Slusallek,Unkown
870,Phong Huynh,Unkown
871,Phuc H Le-Khac,Unkown
872,Pierangelo Rosati,Unkown
873,Piergiorgio Salvan,Unkown
874,Pierluigi Cassotti,Unkown
875,Pierpaolo Basile,Unkown
876,Pilar Sánchez-Gijón,Unkown
877,Pinar Orgun,Unkown
878,Pintu Lohar,Unkown
879,Piyush Arora,Unkown
880,Plamen Petkov,Unkown
881,Prashant Nayak,Unkown
882,Prashanth Nayak,Unkown
883,Procheta Sen,Unkown
884,Pushpak Bhattacharyya,Unkown
885,Pål Halvorsen,Unkown
886,Qi Liu,Unkown
887,Qi She,Unkown
888,Qianling Zhou,Unkown
889,Qiaoyong Zhong,Unkown
890,Qihan Yang,Unkown
891,Qingsong Ma,Unkown
892,Qingtian Zeng,Unkown
893,Qingzhi Liu,Unkown
894,Quoc-Cuong Tran,Unkown
895,Quy H Nguyen,Unkown
896,R Maddison,Unkown
897,R.,Unkown
898,R. Yilmaz,Unkown
899,Radovan Garabík,Unkown
900,Raf Buyle,Unkown
901,Raghvendra Pratap Singh,Unkown
902,Rajen Chatterjee,Unkown
903,Rajneesh Sharma,Unkown
904,Rami Albatal,Unkown
905,Ramin Ranjbarzadeh,Unkown
906,Ramneesh Vaidyambath,Unkown
907,Ramon Sanabria,Unkown
908,Ramona Trestian,Unkown
909,Rashmi Gupta,Unkown
910,Rashmiranjan Das,Unkown
911,Raul Berari,Unkown
912,Ravi Kuber,Unkown
913,Rawan Alamro,Unkown
914,Ray Walshe,Assistant Professor
915,Reem Bin-Hezam,Unkown
916,Regina Hebig,Unkown
917,Rejwanul Haque,Unkown
918,Renaat Verbruggen,Lecturer
919,Renan Alves,Unkown
920,Renaud Péteri,Unkown
921,Rezvaneh Rezapour,Unkown
922,Ricardo Alonso Maturana,Unkown
923,Ricardo Britto,Unkown
924,Ricardo Campos,Unkown
925,Ricardo Colomo Palacios,Unkown
926,Richard McCann,Unkown
927,Richard Mccann,Unkown
928,Richard Messnarz,Unkown
929,Rico Sennrich,Unkown
930,Rigo Wenning,Unkown
931,Riham Alsmariy,Unkown
932,Rita O’Connor,Unkown
933,Rob Brennan,Assistant Professor
934,Robert Burke,Unkown
935,Robert Zimmermann,Unkown
936,Robin Harte,Unkown
937,Rodrigo V Asem,Unkown
938,Roghaiyeh Gachpaz Hamed,Unkown
939,Roman Grundkiewicz,Unkown
940,Ronan Cahill,Unkown
941,Ronan P Murphy,Unkown
942,Roosa Rosti,Unkown
943,Rory O’Connor,Unkown
944,Rosa Hm Chan,Unkown
945,Rosie Jones,Unkown
946,Rossella Varvara,Unkown
947,Ruben Branco,Unkown
948,Rui Neto,Unkown
949,Rukiye Savran Kiziltepe,Unkown
950,Ryen W White,Unkown
951,Rónán Ó Grálaigh,Unkown
952,S Bartling,Unkown
953,S Cartledge,Unkown
954,S Colatino,Unkown
955,S Little,Unkown
956,S Posth,Unkown
957,Sabrina Kirrane,Unkown
958,Sadid A Hasan,Unkown
959,Saeid Jafarzadeh Ghoushchi,Unkown
960,Sandra Kuebler,Unkown
961,Sandra Sanchez‐Gordon,Unkown
962,Sandra-Carina Noble,Unkown
963,Santanu Bhattacharjee,Unkown
964,Santanu Pal,Unkown
965,Saptarshi Ghosh,Unkown
966,Sara Alshaya,Unkown
967,Sarah J Hardcastle,Unkown
968,Sarah M Kelly,Unkown
969,Sarahjane Belton,Unkown
970,Sasha Schriber,Unkown
971,Sathursan Kanagarajah,Unkown
972,Saverio Blasi,Unkown
973,Saverio Giovanni Blasi,Unkown
974,Seamus Lawless,Unkown
975,Seamus McLoone,Unkown
976,Seamus Mcloone,Unkown
977,Sean Cunningham,Unkown
978,Sean Gaine,Unkown
979,Sean J O’Neill,Unkown
980,Sean Quinn,Unkown
981,Senthilkumaran Ulaganathan,Unkown
982,Serap Demir,Unkown
983,Serdar Tasel,Unkown
984,Serge Kozlovski,Unkown
985,Sergej Svorobej,Unkown
986,Sergio Greco,Unkown
987,Sergio Velastin,Unkown
988,Shane Malone,Unkown
989,Shanzhi Chen,Unkown
990,Shawn Joshi,Unkown
991,Sheila Castilho,Unkown
992,Shervin Malmasi,Unkown
993,Shih-Fu Chang,Unkown
994,Shiliang Pu,Unkown
995,Shin-Han Shiu,Unkown
996,Shirin Khaki,Unkown
997,Shoji Nishimura,Unkown
998,Shokofeh Anari,Unkown
999,Shubham Agarwal,Unkown
1000,Siew-Kei Lam,Unkown
1001,Silvana Togneri Mac Mahon,Assistant Professor
1002,Silvano Ramos De Assis Neto,Unkown
1003,Simon Caton,Unkown
1004,Simon Krek,Unkown
1005,Simon Mille,Unkown
1006,Simon Steyskal,Unkown
1007,Simranjeet Singh,Unkown
1008,Sinead Sheridan,Unkown
1009,Sinead Smyth,Unkown
1010,Siobhan Corrigan,Unkown
1011,Smail Kelaiaia,Unkown
1012,Sohyeon Jeong,Unkown
1013,Somesh Kumar,Unkown
1014,Son Huynh,Unkown
1015,Son P Nguyen,Unkown
1016,Soonyong Song,Unkown
1017,Sorin Sav,Unkown
1018,Soroush Baseri Saadi,Unkown
1019,Spyros Kotoulas,Unkown
1020,Sravana Reddy,Unkown
1021,Stanley Sutton,Unkown
1022,Stefan Decker,Unkown
1023,Stefan Kennedy,Unkown
1024,Stefania Marrara,Unkown
1025,Stefanie Hegele,Unkown
1026,Stefano Faralli,Unkown
1027,Stefanos Vrochidis,Unkown
1028,Steinþór Steingrímsson,Unkown
1029,Stelios Piperidis,Unkown
1030,Stephane Clinchant,Unkown
1031,Stephen Hs Wong,Unkown
1032,Stephen Wade,Unkown
1033,Steve Kemp,Unkown
1034,Steven Alexander Hicks,Unkown
1035,Suad Almutairi,Unkown
1036,Sudip Vhaduri,Unkown
1037,Sukanta Sen,Unkown
1038,Sumit Bhatia,Unkown
1039,Susan Hegarty,Unkown
1040,Sutton S. M. Jr. Hebig,Unkown
1041,Suwen Gu,Unkown
1042,Suzanne Considine,Unkown
1043,Suzanne Johannes,Unkown
1044,Suzanne Little,Associate Professor
1045,Suzanne McCarthy,Unkown
1046,Suzanne Mccarthy,Unkown
1047,Svetla Koeva,Unkown
1048,Swathikiran Srungavarapu,Unkown
1049,Sérgio Nunes,Unkown
1050,Sönke Bartling,Unkown
1051,T Harrington,Unkown
1052,T Paixão,Unkown
1053,T-K Le,Unkown
1054,Tada Terutoshi,Unkown
1055,Tadhg Nagle,Unkown
1056,Taja Yaying,Unkown
1057,Takashi Noiri,Unkown
1058,Takfarinas Saber,Unkown
1059,Tamás Váradi,Unkown
1060,Tane Vergili,Unkown
1061,Tanir Ozcelebi,Unkown
1062,Tanmoy Chakraborty,Unkown
1063,Tejal Nijai,Unkown
1064,Teresa Lynn,Unkown
1065,Tewfik Khedim,Unkown
1066,Thanh-An Nguyen,Unkown
1067,Thao-Nhu Nguyen,Unkown
1068,Theo Lynn,Unkown
1069,Thiago Castro Ferreira,Unkown
1070,Thierry Etchegoyhen,Unkown
1071,Thinhinane Yebda,Unkown
1072,Thomas Wassenaar,Unkown
1073,Thu-Le Pham,Unkown
1074,Thuy T Pham,Unkown
1075,Tianbo Ji,Unkown
1076,Tim Chambers,Unkown
1077,Timothy K Shih,Unkown
1078,Tin Lun Lam,Unkown
1079,Tkr Singh,Unkown
1080,Tobias Daudert,Unkown
1081,Tom Kocmi,Unkown
1082,Tomas Ward,Professor
1083,Tommaso Caselli,Unkown
1084,Tomohiro Sato,Unkown
1085,Tomás E. Ward,Unkown
1086,Tomás Harrington,Unkown
1087,Tony O’Dowd,Unkown
1088,Toshiaki Nakazawa,Unkown
1089,Trong-Le Do,Unkown
1090,Tu-Ninh Van,Unkown
1091,Tunçar Şahan,Unkown
1092,Türker Özsarı,Unkown
1093,Ulas Gulec,Unkown
1094,Ulaş Güleç,Unkown
1095,Ulukbek Saktanov,Unkown
1096,Uyen H Pham,Unkown
1097,V Huynh Huu,Unkown
1098,V-T Ninh,Unkown
1099,Vahid Garousi,Unkown
1100,Valters Sics,Unkown
1101,Van-Tu Ninh,Unkown
1102,Vasileios Mezaris,Unkown
1103,Vassili Kovalev,Unkown
1104,Vassilina Nikoulina,Unkown
1105,Venkatesh Balavadhani Parthasarathy,Unkown
1106,Venkatesh Gurram Munirathnam,Unkown
1107,Venkatesh Gurum Munirathnam,Unkown
1108,Veysi Isler,Unkown
1109,Veysi İşler,Unkown
1110,Victoria Arranz,Unkown
1111,Vidit Goel,Unkown
1112,Viet-Khoa Vo-Ho,Unkown
1113,Vildan Çetkin,Unkown
1114,Vincenzo Lomonaco,Unkown
1115,Vincenzo Mangini,Unkown
1116,Vishal Bhat Ramachandra,Unkown
1117,Vitali Liauchuk,Unkown
1118,Vitor Ac Horta,Unkown
1119,Vivek Datla,Unkown
1120,Víctor Sánchez-Cartagena,Unkown
1121,W Prinz,Unkown
1122,Wala Mahmoud,Unkown
1123,Walter Daelemans,Unkown
1124,Wandri Jooste,Unkown
1125,Wasim Ahmed Ali,Unkown
1126,Way Way,Unkown
1127,Wei Li,Unkown
1128,Weibo Wang,Unkown
1129,Weifeng Yan,Unkown
1130,Wellington J CorrˆEa,Unkown
1131,Wen-Huang Cheng,Unkown
1132,Wenjia Zheng,Unkown
1133,Werner Bailer,Unkown
1134,Wessel Kraaij,Unkown
1135,Wichaya Pidchamook,Unkown
1136,Wil Van Der Aalst,Unkown
1137,Will Wade,Unkown
1138,Willie Muehlhausen,Unkown
1139,Wingyan Chung,Unkown
1140,Wolfgang Hurst,Unkown
1141,Wouter Beek,Unkown
1142,X Tien Dang,Unkown
1143,Xabier Soto,Unkown
1144,Xiaowei Li,Unkown
1145,Xindong Wu,Unkown
1146,Xinyue Hao,Unkown
1147,Xuan Chen,Unkown
1148,Yagup Macit,Unkown
1149,Yaji Sripada,Unkown
1150,Yalemisew Abgaz,Unkown
1151,Yan-Ci Liu,Unkown
1152,Yangsheng Xu,Unkown
1153,Yantian Hou,Unkown
1154,Yasemin Bekturk,Unkown
1155,Yasemin Yigit Kuru,Unkown
1156,Yashin Dicente Cid,Unkown
1157,Yasmin Moslem,Unkown
1158,Yasufumi Moriya,Unkown
1159,Ying Mao,Unkown
1160,Ying Wang,Unkown
1161,Yingqi Gu,Unkown
1162,Yongchen Cui,Unkown
1163,Yongchen Wang,Unkown
1164,Yongyi Yang,Unkown
1165,Yongze Yu,Unkown
1166,Yooyoung Lee,Unkown
1167,Youngsung Son,Unkown
1168,Yu Cheng,Unkown
1169,Yu Yang,Unkown
1170,Yucong Duan,Unkown
1171,Yue Zeng,Unkown
1172,Yulin Dai,Unkown
1173,Yulong Pei,Unkown
1174,Yun Song,Unkown
1175,Yuqi Fu,Unkown
1176,Yvette Graham,Assistant Professor
1177,Zaid Amin,Unkown
1178,Zhen Yang,Unkown
1179,Zhengwei Wang,Unkown
1180,Zhilan Hu,Unkown
1181,Zhou Liting,Unkown
1182,Zihao Guo,Unkown
1183,Zoran Misajleski,Unkown
1184,Zulal Akarsu,Unkown
1185,Zuleyha Akgun,Unkown
1186,Çağdaş Üsfekes,Unkown
1187,İzzet Sakallı,Unkown
